NBN Atlas record ID,Occurrence ID,Licence,rightsHolder,Scientific name,Taxon author,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Event Date,Day,Month,Year,End date,Locality,Grid reference,Latitude (WGS84),Longitude (WGS84),Coordinate Uncertainty (m),verbatimDepth,Recorder,Determiner,Individual count,Abundance,Abundance scale,Organism scope,Organism remarks,Sex,Life stage,Occurrence remarks,Identification verification status,Basis of Record,Survey key,Dataset name,Dataset ID,Data provider,Data provider ID,Institution code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR 100km,OSGR 10km,OSGR 2km,OSGR 1km,Country,State/Province,Vitality,Public resolution (m)
00950ca7-16a7-4232-90c6-dd7dc508b35d,2cd4p9h.hrqdh,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,01/01/1978,,,1978,31/12/1992,"Ardmore, 1km sq",NS3178,55.969841,-4.701483,707.1,,A.McG. Stirling|A. Rutherford,,,,,,,,,,Accepted,HUMAN_OBSERVATION,"Vascular plant data for Scottish vice-counties: v.cc. 79, 83, 91, 99 and  103",Scottish SNH-funded BSBI records,dr654,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS37,NS37E,NS3178,United Kingdom of Great Britain and Northern Ireland,Scotland,,
009b17a4-a3ed-466a-810e-b5f377429b29,CI00016600008K37,CC-BY,Highland Biological Recording Group,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,17/08/2011,17,8,2011,,N of Kennacraig,NR82286270,55.808402,-5.475909,7.1,,Julie Bowen,Julie Bowen,,,,,,,,Approx 300 m north of ferry turn-off.,Accepted - considered correct,HUMAN_OBSERVATION,CI00016600000032,HBRG Invasive Non-native Plants Dataset,dr223,Highland Biological Recording Group,dp7,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NR,NR86,NR86G,NR8262,United Kingdom of Great Britain and Northern Ireland,Scotland,,
009f3937-4cdc-4468-b423-24315a92a251,CI00016600009UN3,CC-BY,Highland Biological Recording Group,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,13/06/2015,13,6,2015,,"Portree, Skye",NG481434,57.411427,-6.195294,70.7,,Murdo Macdonald,Murdo Macdonald,,,,,,,,"Scattered in two areas, by shore and in waste ground by steps.",Accepted - considered correct,HUMAN_OBSERVATION,CI00016600000032,HBRG Invasive Non-native Plants Dataset,dr223,Highland Biological Recording Group,dp7,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NG,NG44,NG44W,NG4843,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00a0999c-5e8c-471b-bf47-24bc6e750199,1938416,CC-BY-NC,Natural Apptitude and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,19/05/2015,19,5,2015,,,NS429270,55.51224,-4.488156,50,,458bcfcf-d8d6-57d0-7aa9-0158be9958db,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,PlantTracker data from 2012 onwards,dr1187,Natural Apptitude,dp178,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS42,NS42I,NS4227,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00ab1526-1a94-43fc-970a-dd3323535a25,LC0004260001EV1Z,CC-BY,Adrian Sumner,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,23/08/2019,23,8,2019,,Bents,NS970620,55.840645,-3.645539,70.7,,Adrian Sumner,Adrian Sumner,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,CI0000060000002G,A.T. Sumner's Records,dr2785,The Wildlife Information Centre,dp43,The Wildlife Information Centre,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS96,NS96R,NS9762,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00b0f24b-1a4f-4df3-a1c3-9937b96cdba2,407880,CC-BY-NC,Natural Apptitude and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,06/08/2013,6,8,2013,,,NO305402,56.548625,-3.132024,50,,e767fa3c-a53e-e09d-85ac-2498e55efcf7,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,PlantTracker data from 2012 onwards,dr1187,Natural Apptitude,dp178,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NO,NO34,NO34A,NO3040,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00b1d3a5-71fe-47a5-b513-24ef0ae4edac,2cd4p9h.1852n1,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,,,,1955,,Currie Station,NT16,55.870643,-3.359929,7071.1,,E.P. Beattie,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Plants,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NT,NT16,,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00c3768b-9272-44ca-a12f-56600c76a07a,LC00025100001CHK,CC-BY-NC,Fife Nature Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,01/01/1971,,,1971,31/12/1986,,NS98M,56.046314,-3.6872,1414.2,,withheld,,,,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,,Fife Nature Records Centre Combined Dataset,dr840,Fife Nature Records Centre,dp162,Fife Nature Records Centre,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS98,NS98M,,United Kingdom of Great Britain and Northern Ireland,Scotland,not recorded,2000
00c5ed9b-ea73-40cb-962d-c1cce80e838f,555,CC-BY,Tweed Forum,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,01/07/2022,,7,2022,30/09/2022,,NT74403512,55.609047,-2.407808,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Japanese knotweed controlled in 2022 as part of the Tweed Invasives Project,dr2754,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NT,NT73,NT73M,NT7435,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
00d11630-02d1-4e62-963d-ac46a0960ca9,237552,CC-BY-NC,Natural Apptitude and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,12/05/2013,12,5,2013,,,NS253868,56.04273,-4.805564,50,,8a1c989f-c6b6-c726-7eac-45b4aeb27ebe,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,PlantTracker data from 2012 onwards,dr1187,Natural Apptitude,dp178,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS28,NS28N,NS2586,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00d11e1b-dc48-4aaa-8db2-d16a7b0e1eb7,7773260,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,31/08/2018,31,8,2018,,,NT077678,55.89464,-3.47607,19,,"Smith, Sandra",,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NT,NT06,NT06T,NT0767,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00e24245-33ca-48e1-8392-3a8e4d1c3843,1051,CC-BY,Tweed Forum,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,01/07/2022,,7,2022,30/09/2022,,NT54863460,55.60298,-2.717928,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Japanese knotweed controlled in 2022 as part of the Tweed Invasives Project,dr2754,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NT,NT53,NT53M,NT5434,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
00e965fc-637b-4f1d-8f23-0622b9576c98,2cd4p9h.1w8w26,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,01/01/1987,,,1987,31/12/1999,VC98 Argyllshire,NR96,55.834552,-5.275115,7071.1,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Atlas2000 master cards,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NR,NR96,,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00ed8cca-e65e-43f9-b148-10bf7c9c4ffe,CI0000420000W9B5,CC-BY-NC,North East Scotland Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,27/07/2004,27,7,2004,,,NJ9304,57.131369,-2.10901,707.1,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,CI000042000000IM,North East Scotland Invasive Non Native Plants,dr1425,North East Scotland Biological Records Centre,dp123,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NJ,NJ90,NJ90H,NJ9304,United Kingdom of Great Britain and Northern Ireland,Scotland,,
010667c6-3c8b-4b50-8688-c7fcada45e2c,2cd4p9h.cz1fk,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,20/07/1997,20,7,1997,,"New Luce village,",NX1764,54.941681,-4.85068,707.1,,A.J. Silverside|E.H. Jackson,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Atlas2000 records on disc via Trevor Dines,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NX,NX16,NX16S,NX1764,United Kingdom of Great Britain and Northern Ireland,Scotland,,
010e65fc-c1a3-4a42-885d-8231fab3e0d4,56349,CC-BY-NC,Natural Apptitude and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,19/06/2012,19,6,2012,,,NS529603,55.814265,-4.348973,50,,dee03fde-4e39-cfe8-b419-0419a27fe56b,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,PlantTracker data from 2012 onwards,dr1187,Natural Apptitude,dp178,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS56,NS56F,NS5260,United Kingdom of Great Britain and Northern Ireland,Scotland,,
0112fa9f-ae82-4183-991f-69259618298e,2035203,CC-BY-NC,Natural Apptitude and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,14/06/2015,14,6,2015,,,NS706767,55.966369,-4.073469,50,,317e73db-d0be-bf48-6a48-836f947b6097,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,PlantTracker data from 2012 onwards,dr1187,Natural Apptitude,dp178,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS77,NS77D,NS7076,United Kingdom of Great Britain and Northern Ireland,Scotland,,
011c9412-5f34-403e-af23-22cc992083ba,2cd4p9h.cz7man,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,29/05/2014,29,5,2014,,Corrie village (1km sq),NS0243,55.644793,-5.140017,707.1,,A. Smith|S. Cowan,,,,,,,,,,Accepted,HUMAN_OBSERVATION,MapMateCentre:2ra,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS04,NS04G,NS0243,United Kingdom of Great Britain and Northern Ireland,Scotland,,
011dda9e-16b5-4e2d-b47f-46e6901cd890,2cd4p9h.b984zw,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,30/08/2013,30,8,2013,,Seacliffe track and main road verges from layby,NS0422,55.457186,-5.093439,707.1,,Anthony Warren Smith|A. McBain,,,,,,,,,,Accepted,HUMAN_OBSERVATION,MapMateCentre:2ra,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS02,NS02L,NS0422,United Kingdom of Great Britain and Northern Ireland,Scotland,,
012e45b5-59c9-45a8-9b24-b7781d9a8b6a,224971,CC-BY-NC,Natural Apptitude and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,22/04/2013,22,4,2013,,,NT057644,55.863793,-3.507751,50,,9d6f84f7-b148-a25b-9aee-a660252ced51,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,PlantTracker data from 2012 onwards,dr1187,Natural Apptitude,dp178,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NT,NT06,NT06M,NT0564,United Kingdom of Great Britain and Northern Ireland,Scotland,,
0134d7f9-b7f0-479a-ae06-fe3f9546bb51,623258,CC-BY-NC,Natural Apptitude and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,22/09/2013,22,9,2013,,,NT079683,55.899184,-3.47369,50,,bb885c4b-5f45-70a2-a7aa-ea81310825e8,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,PlantTracker data from 2012 onwards,dr1187,Natural Apptitude,dp178,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NT,NT06,NT06U,NT0768,United Kingdom of Great Britain and Northern Ireland,Scotland,,
01481ba4-1d65-417d-aabb-262d4b09669d,2cd4p9h.120egv,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,01/01/1987,,,1987,31/12/1999,VC104 North Ebudes,NG52,57.249856,-6.063246,7071.1,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Atlas2000 master cards,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NG,NG52,,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
01486944-bccc-454d-8b30-1732e8d46bf5,617433,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,18/09/2013,18,9,2013,,,NM859301,56.415157,-5.471047,50,,440d6038-930b-cdc7-0199-d72f4f6e82c1,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NM,NM83,NM83K,NM8530,United Kingdom of Great Britain and Northern Ireland,Scotland,,
014c60c2-ac2c-465d-832d-8017857caef8,4025924,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,12/09/2016,12,9,2016,,,NO023417,56.55765,-3.59012,50,,"Pudsey, Carol",,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NO,NO04,NO04F,NO0241,United Kingdom of Great Britain and Northern Ireland,Scotland,,
014d7ae1-4eca-474a-9f25-c7ba8fbdbd8b,329,CC0,Central Scotland Green Network Trust,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,,,,2006,,,NS7565,55.866542,-3.991034,707.1,,Peter MacPherson,,,,,,,,,,Accepted,HUMAN_OBSERVATION,,"Invasive Non-native species data in the Clyde catchment, collated by Central Scotland Forest Trust",dr535,Central Scotland Green Network Trust,dp39,CSGNT,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS76,NS76M,NS7565,United Kingdom of Great Britain and Northern Ireland,Scotland,,
014e9b1d-9e4d-45c7-a536-7f2b6626a3ac,2cd4p9h.4s59x7,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,20/06/1987,20,6,1987,,Cadder Yard,NS635711,55.914034,-4.184691,70.7,,J. Dickson,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Changing Flora of Glasgow 1982-2000,Scottish SNH-funded BSBI records,dr654,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS67,NS67F,NS6371,United Kingdom of Great Britain and Northern Ireland,Scotland,,
015141c1-806b-4c98-b471-9991e1f583b0,2cd4p9h.1n4tc,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,01/01/1962,,,1962,31/12/1969,VC85 Fifeshire,NO40,56.234347,-2.888819,7071.1,,G.H. Ballantyne,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Atlas2000 - updated records from December 1995 onwards,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NO,NO40,,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
01518738-c8c0-424c-8fee-f56af0c69e65,2cd4p9h.79h1z,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,27/05/1987,27,5,1987,,Arran E: Gortonallister shoreline including raised-beach cliff and slope,NS0329,55.519591,-5.114183,707.1,,A.R. Church|Anthony Warren Smith,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Atlas2000 records on disc via Trevor Dines,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS02,NS02J,NS0329,United Kingdom of Great Britain and Northern Ireland,Scotland,,
015ab92b-9dd2-41e8-ae89-1fddf2d8e276,2079253,CC-BY-NC,Natural Apptitude and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,22/06/2015,22,6,2015,,,NS153707,55.89467,-4.95438,50,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,PlantTracker data from 2012 onwards,dr1187,Natural Apptitude,dp178,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS17,NS17K,NS1570,United Kingdom of Great Britain and Northern Ireland,Scotland,,
015c2fff-d18e-4d9b-8b40-23b56c405789,2cd4p9h.4s5y4t,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,23/06/1988,23,6,1988,,Sighthill Cemetery,NS602672,55.878072,-4.235429,70.7,,J. Dickson,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Changing Flora of Glasgow 1982-2000,Scottish SNH-funded BSBI records,dr654,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS66,NS66D,NS6067,United Kingdom of Great Britain and Northern Ireland,Scotland,,
